timestamp,sma_20,sma_50,ema_12,ema_26,rsi_14,bb_upper,bb_lower,macd,macd_signal,atr_14
2023-02-17,449.34,,456.198798647609,452.2092237978208,74.97,467.35,431.32,3.9896,1.2709,4.5064
2023-02-20,450.09,,456.7435988556691,452.76705907205627,65.38,468.54,431.64,3.9765,1.8121,4.5464
2023-02-21,450.61,,456.312275954797,452.8539435852373,58.03,468.87,432.35,3.4583,2.1413,5.2579
2023-02-22,451.62,,457.02731042328975,453.4543922085531,63.67,469.82,433.43,3.5729,2.4276,5.7643
2023-02-23,452.4,,456.74464728124514,453.58295574866025,61.13,469.75,435.06,3.1617,2.5744,5.7986
2023-02-24,452.9,,456.61931693028436,453.75681087838916,62.42,470.04,435.75,2.8625,2.6321,5.6714
2023-02-27,453.88,,457.8901912487022,454.5807508133233,67.09,471.42,436.34,3.3094,2.7675,6.2757
2023-02-28,454.88,,459.2609310565942,455.48588038270674,70.39,472.99,436.76,3.7751,2.969,6.3086
2023-03-01,455.91,,460.4638647401951,456.3447040580618,65.59,474.35,437.48,4.1192,3.1991,5.6464
2023-03-02,456.91,,461.35250093401123,457.07768894264984,62.2,475.3,438.52,4.2748,3.4142,5.5029
2023-03-03,457.76,,461.09365463647106,457.26971198393505,52.68,474.91,440.62,3.8239,3.4962,5.7936
2023-03-06,458.78,,461.2930923847063,457.64899257771765,51.39,474.33,443.24,3.6441,3.5257,5.9114
2023-03-07,459.69,,461.2618474024438,457.90388201640525,44.42,473.34,446.05,3.358,3.4922,5.6057
2023-03-08,460.98,,462.0723324174524,458.54285371889375,49.47,471.63,450.34,3.5295,3.4997,5.85
2023-03-09,461.69,,462.3704351224597,458.94782751749426,49.52,471.03,452.34,3.4226,3.4842,5.7479
2023-03-10,462.05,,462.1026758728505,459.0724328865688,50.84,470.58,453.51,3.0302,3.3934,5.7307
2023-03-13,462.36,453.68,462.22687958471965,459.35669711719333,59.02,470.51,454.2,2.8702,3.2888,5.5921
2023-03-14,462.56,453.95,462.65351349476276,459.7747195529568,54.51,470.77,454.36,2.8788,3.2068,5.3314
2023-03-15,462.56,454.28,463.2437421878762,460.27214773421923,63.94,470.75,454.37,2.9716,3.1598,5.01
2023-03-16,462.49,454.55,463.64470492820294,460.68532197612893,62.27,470.55,454.43,2.9594,3.1197,5.1707
2023-03-17,462.93,455.03,465.1270580161717,461.61826108900823,60.8,472.3,453.56,3.5088,3.1975,5.1907
2023-03-20,464.03,455.65,467.6767413982991,463.10579730463724,66.41,476.47,451.59,4.5709,3.4722,5.5257
2023-03-21,465.2,456.06,469.1757042600992,464.1661086154048,60.47,478.06,452.35,5.0096,3.7797,5.9171
2023-03-22,465.9,456.49,470.04713437393013,464.956767236486,58.41,479.28,452.52,5.0904,4.0418,6.1614
2023-03-23,466.68,456.84,470.17834447024853,465.39700670045,61.57,479.23,454.13,4.7813,4.1897,5.96
2023-03-24,467.4,457.2,470.1924453209795,465.75796916708333,58.49,478.96,455.83,4.4345,4.2387,6.0807
2023-03-27,467.88,457.58,470.8643768100596,466.4099714510031,63.63,479.81,455.96,4.4544,4.2818,6.2029
2023-03-28,468.3,458.1,471.52062653158885,467.05589949166955,59.65,480.64,455.96,4.4647,4.3184,5.6386
2023-03-29,469.12,458.78,473.3728378344213,468.2784254552496,69.38,483.2,455.05,5.0944,4.4736,6.0064
2023-03-30,470.21,459.68,475.61086278297194,469.7333569030089,76.53,486.51,453.9,5.8775,4.7544,5.925
2023-03-31,471.7,460.62,477.7507300471301,471.19903416945266,76.22,489.35,454.05,6.5517,5.1138,5.6657
2023-04-03,473.31,461.62,480.3536946552639,472.93762423097473,77.57,493.15,453.48,7.4161,5.5743,5.7764
2023-04-04,475.04,462.66,482.68697240060794,474.6103928064581,77.3,496.33,453.74,8.0766,6.0748,5.87
2023-04-05,476.12,463.61,483.5351304928221,475.6170303763501,68.67,497.79,454.45,7.9181,6.4434,6.3936
2023-04-06,477.1,464.49,483.54511041700334,476.20836145958344,59.05,498.23,455.97,7.3367,6.6221,6.0793
2023-04-07,478.48,465.34,484.2858626605413,477.10848283294763,56.24,498.69,458.28,7.1774,6.7331,5.7957
2023-04-10,479.89,466.25,485.31111455891954,478.13378040087747,63.09,499.42,460.36,7.1773,6.822,5.5836
2023-04-11,481.42,467.23,486.89555847293195,479.4283151859977,69.32,500.83,462.0,7.4672,6.951,5.6136
2023-04-12,482.81,468.19,488.05008793863476,480.5373288759238,73.03,501.72,463.91,7.5128,7.0634,5.6207
2023-04-13,483.6,468.9,487.07007440961405,480.6219711814109,59.04,500.76,466.45,6.4481,6.9403,6.4393
2023-04-14,483.96,469.65,486.0546783465965,480.6107140568619,54.92,500.5,467.43,5.444,6.6411,6.1886
2023-04-17,484.11,470.51,485.8324201394278,480.9069574600573,57.45,500.61,467.61,4.9255,6.2979,6.4936
2023-04-18,484.36,471.3,485.3212785795159,481.0257013519049,49.08,500.59,468.14,4.2956,5.8975,5.9879
2023-04-19,484.64,472.09,484.54877418266733,480.97194569620825,43.09,500.36,468.91,3.5768,5.4333,6.0721
2023-04-20,484.92,472.62,483.3181935391801,480.6443941631558,38.68,499.79,470.05,2.6738,4.8814,6.1357
2023-04-21,485.28,473.11,482.4323176100755,480.4159205214406,33.9,498.95,471.62,2.0164,4.3084,5.9543
2023-04-24,485.87,473.7,483.0181149008331,480.8473338161487,42.39,498.56,473.17,2.1708,3.8809,6.3957
2023-04-25,486.41,474.2,483.47994337762805,481.23049427421176,47.98,498.06,474.76,2.2494,3.5546,5.6743
2023-04-26,486.39,474.53,483.4199520887622,481.36823543908497,49.51,498.06,474.71,2.0517,3.254,5.5064
2023-04-27,486.19,474.87,483.5061133058757,481.5616994806343,45.47,497.89,474.49,1.9444,2.9921,5.4721
2023-04-28,485.66,475.15,482.8067112588179,481.36898100058727,38.19,497.68,473.65,1.4377,2.6812,5.8186
2023-05-01,484.94,475.56,482.3964479882306,481.2779453709141,33.64,496.4,473.47,1.1185,2.3687,5.7636
2023-05-02,484.07,476.05,481.7569944515797,481.052912380476,33.15,494.76,473.39,0.7041,2.0358,5.7257
2023-05-03,483.85,476.5,482.07130299749053,481.2564003522926,52.6,494.36,473.34,0.8149,1.7916,4.8771
2023-05-04,483.98,477.12,482.68187176710734,481.6107410669376,56.66,494.53,473.42,1.0711,1.6475,4.975
2023-05-05,484.01,477.78,483.6461991875523,482.1543898767941,55.34,494.61,473.4,1.4918,1.6164,4.8029
2023-05-08,483.78,478.21,484.0744762356212,482.4711017377723,54.78,493.95,473.61,1.6034,1.6138,4.9014
2023-05-09,483.68,478.75,485.5491721993718,483.29990901645584,64.51,493.4,473.96,2.2493,1.7409,4.9943
2023-05-10,483.38,479.18,485.9877610917762,483.67769353375536,62.46,492.02,474.75,2.3101,1.8547,5.0371
2023-05-11,483.64,479.59,486.12195169304135,483.9134199386624,59.67,492.37,474.91,2.2085,1.9255,5.0621
2023-05-12,483.92,480.12,486.10780527872726,484.0702036469096,49.74,492.58,475.26,2.0376,1.9479,4.6914
2023-05-15,484.29,480.71,487.01891215892306,484.65981819158293,56.53,493.68,474.9,2.3591,2.0301,5.4457
2023-05-16,484.35,481.16,486.51754105755026,484.5931649922064,50.65,493.71,475.0,1.9244,2.009,5.8914
2023-05-17,484.36,481.44,485.5871501256195,484.2877453631541,46.73,493.7,475.02,1.2994,1.8671,5.9886
2023-05-18,484.52,481.76,484.6860501062934,483.9501345955131,50.78,493.4,475.64,0.7359,1.6408,5.61
2023-05-19,484.83,482.22,484.55127316686367,483.9397542551047,53.5,493.1,476.57,0.6115,1.435,5.6721
2023-05-22,484.12,482.4,482.6110772950385,483.0508835695414,44.95,494.15,474.08,-0.4398,1.06,6.4021
2023-05-23,483.69,482.65,481.83552694195566,482.6448921940198,45.01,494.1,473.29,-0.8094,0.6861,6.51
2023-05-24,483.56,482.93,481.61006125857784,482.47638166112944,45.5,494.07,473.05,-0.8663,0.3756,6.645
2023-05-25,483.33,483.2,481.279282603412,482.2529459825273,42.22,493.99,472.67,-0.9737,0.1058,6.7129
2023-05-26,483.58,483.42,481.69939297211783,482.38309813196975,48.08,494.05,473.12,-0.6837,-0.0521,7.0157
2023-05-29,483.56,483.37,481.3687171302536,482.1732390110831,38.29,494.06,473.05,-0.8045,-0.2026,6.8186
2023-05-30,483.66,483.43,481.20122218713766,482.0329990843362,42.71,493.99,473.33,-0.8318,-0.3284,6.5286
2023-05-31,483.28,483.46,480.45180338911644,481.6105547077187,40.94,494.12,472.45,-1.1588,-0.4945,6.59
2023-06-01,482.62,483.5,479.2653720984831,480.953476581221,39.08,494.34,470.9,-1.6881,-0.7332,6.595
2023-06-02,481.61,483.47,477.64608408333186,480.0487746122417,30.22,494.46,468.76,-2.4027,-1.0671,6.2229
2023-06-05,480.87,483.41,476.71745576281927,479.4236801965201,38.64,494.25,467.49,-2.7062,-1.3949,6.0693
2023-06-06,480.15,483.49,477.10707795315477,479.41081499677784,48.95,492.1,468.19,-2.3037,-1.5767,6.2579
2023-06-07,479.78,483.44,477.71521980651556,479.5329768488684,51.13,491.1,468.46,-1.8178,-1.6249,6.4464
2023-06-08,479.5,483.3,478.2498013747439,479.6557193045077,47.62,490.35,468.65,-1.4059,-1.5811,6.0729
2023-06-09,478.96,483.02,477.79752424016795,479.33381417084047,53.44,489.51,468.42,-1.5363,-1.5721,5.5443
2023-06-12,478.36,482.73,478.14713589552673,479.3883464544819,52.6,486.96,469.76,-1.2412,-1.506,5.4271
2023-06-13,478.42,482.52,479.193730373138,479.80032079118695,54.57,487.2,469.65,-0.6066,-1.3261,5.6714
2023-06-14,478.7,482.48,480.2577718541937,480.26770443628425,56.6,488.1,469.31,-0.0099,-1.0628,5.4886
2023-06-15,478.78,482.43,480.4027300304716,480.33676336692986,47.23,488.23,469.33,0.066,-0.8371,5.5307
2023-06-16,478.66,482.29,480.5592331027068,480.41700311752766,52.01,487.9,469.42,0.1422,-0.6412,5.3764
2023-06-19,479.05,482.07,480.45473570229035,480.3772251088219,49.58,487.74,470.37,0.0775,-0.4975,5.4564
2023-06-20,479.55,481.9,481.5293917480918,480.90039361927955,60.9,488.97,470.12,0.629,-0.2722,5.99
2023-06-21,480.06,481.83,482.93102378684694,481.6218459437774,67.7,490.71,469.41,1.3092,0.0441,6.0607
2023-06-22,480.68,482.03,484.28778935810124,482.37207957757164,74.13,492.53,468.82,1.9157,0.4184,5.7843
2023-06-23,480.78,482.14,484.5773602260857,482.65340701627,64.45,492.81,468.76,1.924,0.7195,5.6586
2023-06-26,481.0,482.13,484.47315096053404,482.74574723728705,55.17,493.09,468.92,1.7274,0.9211,5.2764
2023-06-27,480.76,481.99,483.08035850506724,482.20309929378425,44.54,493.1,468.42,0.8773,0.9123,5.5507
2023-06-28,480.48,481.8,481.17876488890306,481.3524993460966,40.69,493.48,467.48,-0.1737,0.6951,6.0714
2023-06-29,480.0,481.53,478.42049336753337,480.01157346860793,39.57,494.77,465.24,-1.5911,0.2379,6.2114
2023-06-30,479.59,481.19,475.6450328494513,478.55738284130365,32.4,496.06,463.11,-2.9123,-0.3921,6.0014
2023-07-03,479.34,480.8,474.2688739495357,477.6790581863923,34.1,496.45,462.23,-3.4102,-0.9958,6.2179
2023-07-04,478.56,480.35,472.63366257268405,476.6391279503632,31.05,497.06,460.06,-4.0055,-1.5977,6.3393
2023-07-05,477.81,480.01,471.61771448457876,475.8532666207067,36.64,497.08,458.53,-4.2356,-2.1253,6.2386
2023-07-06,477.01,479.63,470.6472968715666,475.0722839080617,35.94,497.0,457.03,-4.425,-2.5852,6.0829
2023-07-07,476.63,479.41,470.17694350671024,474.51804065561265,39.41,497.05,456.21,-4.3411,-2.9364,6.3171
2023-07-10,476.24,479.25,470.50510604413944,474.35448208853023,36.29,496.68,455.8,-3.8494,-3.119,5.8671
2023-07-11,475.52,479.1,470.51508972965644,474.07415008197245,31.32,495.68,455.37,-3.5591,-3.207,6.2536
2023-07-12,474.86,478.88,470.88661438663235,473.98939822404856,32.88,494.41,455.31,-3.1028,-3.1862,6.435
2023-07-13,474.56,478.66,471.5286737117658,474.0687020593042,39.22,493.88,455.23,-2.54,-3.0569,6.2021
2023-07-14,474.18,478.36,471.88887775610954,474.0539833882446,40.06,493.23,455.13,-2.1651,-2.8786,6.2729
2023-07-17,474.02,478.17,472.6444350244004,474.2573920261524,51.54,492.93,455.12,-1.613,-2.6255,6.0407
2023-07-18,473.59,477.87,473.59913732833877,474.59758520940034,59.63,491.59,455.6,-0.9984,-2.3,5.69
2023-07-19,473.08,477.71,474.63003927782506,475.0199863050003,73.54,489.54,456.62,-0.3899,-1.918,5.2393
2023-07-20,472.49,477.57,475.44387938892896,475.3829502824077,78.97,486.83,458.14,0.0609,-1.5222,5.1121
2023-07-21,472.02,477.38,475.66174409832456,475.4923613725997,66.68,485.04,459.0,0.1694,-1.1839,4.6529
2023-07-24,471.83,477.15,476.35378346781306,475.8381123820368,76.91,484.23,459.44,0.5157,-0.844,4.7957
2023-07-25,471.85,476.99,476.24858601122645,475.825659612997,64.7,484.26,459.43,0.4229,-0.5906,4.6486
2023-07-26,472.19,476.93,476.4580343171916,475.95783297499725,68.08,484.85,459.53,0.5002,-0.3724,5.1086
2023-07-27,473.15,476.98,477.3875674991621,476.4424379398123,70.35,485.88,460.43,0.9451,-0.1089,4.9893
2023-07-28,474.48,477.04,478.8433263454449,477.21336846278916,70.05,487.11,461.84,1.63,0.2388,5.0671
2023-07-31,475.51,477.35,480.15512229229955,477.9657115396196,73.97,488.83,462.19,2.1894,0.629,4.4921
2023-08-01,476.43,477.44,480.4389496319458,478.26454772187,61.92,488.8,464.05,2.1744,0.938,4.5829
2023-08-02,477.32,477.51,480.96680353472334,478.6797664091389,61.66,489.1,465.54,2.287,1.2078,4.6186
2023-08-03,478.11,477.54,480.9842183755352,478.85756148994346,59.15,488.53,467.68,2.1267,1.3916,4.7414
2023-08-04,478.53,477.39,480.22356939468364,478.64885323142914,49.08,487.78,469.28,1.5747,1.4282,5.0029
2023-08-07,478.58,477.26,479.14302025704,478.2452344735455,43.32,487.7,469.45,0.8978,1.3221,5.0693
2023-08-08,478.61,477.08,477.94409406364923,477.73447636439397,39.52,487.61,469.62,0.2096,1.0996,5.3264
2023-08-09,478.72,477.06,477.5080795923186,477.5400707077722,44.78,487.47,469.97,-0.032,0.8733,5.5579
2023-08-10,479.02,477.22,478.04529811657727,477.79636176645573,54.23,487.65,470.39,0.2489,0.7484,5.7636
2023-08-11,479.06,477.34,477.51217532941155,477.5581127467183,44.64,487.6,470.51,-0.0459,0.5896,6.0293
2023-08-14,478.89,477.37,476.89491758642515,477.25751180251694,47.77,487.74,470.04,-0.3626,0.3991,5.7493
2023-08-15,478.73,477.3,476.7141610346674,477.14362203936753,48.07,487.7,469.77,-0.4295,0.2334,5.5143
2023-08-16,478.49,477.19,476.50121318318014,477.009279666081,41.92,487.54,469.43,-0.5081,0.0851,5.5786
2023-08-17,478.22,477.06,476.2056419242293,476.82933302414904,34.96,487.41,469.03,-0.6237,-0.0567,5.1857
2023-08-18,477.53,476.81,474.17708162819406,475.80641946680464,26.51,488.96,466.09,-1.6293,-0.3712,5.9386
2023-08-21,476.93,476.57,473.254453685395,475.2414995063006,36.61,489.02,464.84,-1.987,-0.6943,5.9429
2023-08-22,476.58,476.25,472.57069157994965,474.76509213546353,35.05,489.2,463.97,-2.1944,-0.9944,6.0879
2023-08-23,476.09,475.88,471.81673902918817,474.23952975505887,36.24,489.3,462.87,-2.4228,-1.28,5.965
2023-08-24,475.27,475.58,470.93570225546694,473.6358608843138,39.01,488.84,461.7,-2.7002,-1.5641,5.7771
2023-08-25,474.05,475.2,469.64559421616434,472.8146860039942,38.42,487.61,460.5,-3.1691,-1.8851,5.85
2023-08-28,472.96,474.92,469.0155027982929,472.27656111480945,43.85,485.48,460.44,-3.2611,-2.1603,5.8893
2023-08-29,472.49,474.62,469.5731177524017,472.3034825137125,47.55,484.27,460.72,-2.7304,-2.2743,6.0471
2023-08-30,471.7,474.17,469.33725348280143,471.98766899417825,36.82,482.33,461.08,-2.6504,-2.3495,6.0636
2023-08-31,470.89,473.63,468.6469067931397,471.45895277238725,39.41,480.96,460.82,-2.812,-2.442,5.7171
2023-09-01,470.21,473.16,467.6950749788105,470.7923636781363,38.31,480.65,459.78,-3.0973,-2.5731,5.9493
2023-09-04,469.35,472.6,465.89737113591656,469.6973737760522,30.85,481.45,457.25,-3.8,-2.8185,6.1107
2023-09-05,468.73,472.27,464.82700634577554,468.9005312741224,34.83,481.64,455.82,-4.0735,-3.0695,6.0021
2023-09-06,467.59,471.9,462.89515921565624,467.6686400686318,31.39,482.07,453.11,-4.7735,-3.4103,6.4921
2023-09-07,466.59,471.86,462.6189808747861,467.18207413762207,48.32,479.88,453.31,-4.5631,-3.6408,6.4186
2023-09-08,465.81,471.83,462.0545222786651,466.5722908681686,41.48,478.96,452.67,-4.5178,-3.8162,6.2043
2023-09-11,465.17,471.71,461.82921115887046,466.12915821126717,42.55,477.99,452.35,-4.2999,-3.913,6.1007
2023-09-12,464.67,471.75,462.42779405750576,466.0988501956178,48.35,476.5,452.84,-3.6711,-3.8646,6.3571
2023-09-13,464.36,471.81,463.4650565101972,466.32634277372017,52.52,475.31,453.41,-2.8613,-3.6639,6.245
2023-09-14,463.93,471.82,463.8535093547822,466.30142849418536,52.83,473.81,454.05,-2.4479,-3.4207,6.2807
2023-09-15,463.52,471.57,462.4652771463542,465.4516930501716,42.22,474.21,452.83,-2.9864,-3.3339,6.7707
2023-09-18,463.35,471.42,462.82446527768434,465.40341949089964,44.54,473.84,452.87,-2.579,-3.1829,6.9621
2023-09-19,463.35,471.38,463.72839369650217,465.6476106397219,50.46,473.82,452.87,-1.9192,-2.9302,6.8093
2023-09-20,463.54,471.35,464.93941005088647,466.0885283701129,54.77,474.49,452.59,-1.1491,-2.5739,6.685
2023-09-21,463.75,471.26,465.741039273827,466.3893781204749,55.51,475.04,452.45,-0.6483,-2.1888,6.6171
2023-09-22,464.08,471.16,466.2885716932382,466.60497974118044,60.35,475.63,452.54,-0.3164,-1.8143,6.4943
2023-09-25,463.9,470.86,465.59648374043235,466.24831457516706,52.07,475.46,452.33,-0.6518,-1.5818,6.8893
2023-09-26,462.89,470.34,463.60164008805816,465.2395505325621,50.25,474.73,451.05,-1.6379,-1.593,7.1736
2023-09-27,462.3,469.86,462.4583108437415,464.5677319745945,46.26,474.24,450.36,-2.1094,-1.6963,6.6043
2023-09-28,461.57,469.26,460.5693399447043,463.5019740505504,43.72,474.6,448.53,-2.9326,-1.9436,6.9214
2023-09-29,461.11,468.79,459.4540568762883,462.7477537505097,44.9,474.65,447.57,-3.2937,-2.2136,6.9714
2023-10-02,460.87,468.21,458.1734327414747,461.8871793986201,39.33,474.95,446.78,-3.7137,-2.5136,6.6793
2023-10-03,460.58,467.76,457.4036738581709,461.24146240612976,38.06,475.06,446.09,-3.8378,-2.7785,6.7443
2023-10-04,460.72,467.31,457.06310864922153,460.7932059316016,41.8,474.91,446.54,-3.7301,-2.9688,6.5314
2023-10-05,460.79,466.91,457.88263039549514,460.9114869737052,56.11,474.99,446.58,-3.0289,-2.9808,6.6593
2023-10-06,461.24,466.53,459.4391487961882,461.43656201269005,52.78,475.77,446.71,-1.9974,-2.7841,6.3757
2023-10-09,461.71,466.18,461.0531259044669,462.0657055673056,51.11,476.74,446.67,-1.0126,-2.4298,6.4243
2023-10-10,462.14,466.03,463.1095680730105,462.9808384882459,52.47,478.14,446.15,0.1287,-1.9181,6.5207
2023-10-11,462.53,465.89,465.2296345233166,464.0111467483759,55.8,479.58,445.48,1.2185,-1.2908,6.5193
2023-10-12,463.3,465.9,467.71584459665246,465.2984692114592,59.78,482.29,444.31,2.4174,-0.5492,6.7971
2023-10-13,464.6,465.99,469.7241761971675,466.4445085291289,67.29,484.66,444.53,3.2797,0.2166,6.3043
2023-10-16,465.51,466.19,471.7866106283725,467.6804708603045,81.7,487.22,443.8,4.1061,0.9945,5.67
2023-10-17,466.22,466.42,473.50251668554597,468.8108063521338,79.91,489.27,443.18,4.6917,1.734,5.8143
2023-10-18,466.52,466.47,474.12212950315427,469.456672548272,80.96,490.01,443.04,4.6655,2.3203,5.7143
2023-10-19,466.78,466.36,474.297186502669,469.8865486558074,75.33,490.54,443.02,4.4106,2.7383,5.6571
2023-10-20,467.49,466.54,475.72223473302756,470.89939690352537,82.82,492.4,442.58,4.8228,3.1552,6.275
2023-10-23,468.67,466.78,477.20650631256177,471.97129342919015,82.74,494.65,442.69,5.2352,3.5712,5.97
2023-10-24,470.33,466.98,478.54396687985997,473.00304947147237,82.2,496.25,444.41,5.5409,3.9652,5.8593
2023-10-25,471.52,467.07,478.7510488983431,473.513193955067,68.82,496.87,446.16,5.2379,4.2197,5.4929
2023-10-26,473.16,467.24,479.4016567601364,474.2144388472842,67.03,496.89,449.42,5.1872,4.4132,5.3943
2023-10-27,474.64,467.64,479.95370956626925,474.864480414152,65.53,496.81,452.47,5.0892,4.5484,5.1129
2023-10-30,476.36,467.98,480.8069850176124,475.6522966797704,63.82,496.05,456.67,5.1547,4.6697,5.0221
2023-10-31,478.05,468.35,481.7643719379798,476.4950895183059,62.95,494.97,461.14,5.2693,4.7896,4.88
2023-11-01,479.75,468.78,482.9006224090598,477.4324902947277,60.55,493.53,465.97,5.4681,4.9253,4.5671
2023-11-02,480.86,469.15,483.15129588458905,477.9582317543775,54.61,492.09,469.63,5.1931,4.9789,4.9393
2023-11-03,481.82,469.64,483.78648113311385,478.6487331059051,55.04,491.62,472.02,5.1377,5.0106,5.13
2023-11-06,482.53,470.01,483.8316378818656,479.0510491721343,51.29,490.61,474.45,4.7806,4.9646,5.03
2023-11-07,482.98,470.23,483.7606166692709,479.37097145567986,57.4,490.1,475.85,4.3896,4.8496,4.7014
2023-11-08,483.17,470.48,483.29898333553695,479.4738624589628,56.91,489.79,476.55,3.8251,4.6447,4.695
2023-11-09,482.9,470.7,482.17760128391586,479.21728005459516,39.59,490.23,475.58,2.9603,4.3078,4.2814
2023-11-10,482.69,470.99,481.3148933940827,479.02118523573625,37.43,490.5,474.89,2.2937,3.905,4.3486
2023-11-13,482.47,471.44,480.9218328719161,479.00183818123725,40.26,490.47,474.48,1.92,3.508,4.4693
2023-11-14,482.07,471.76,479.9907816608521,478.6957760937382,42.73,490.75,473.39,1.295,3.0654,4.15
2023-11-15,482.02,472.25,479.466046020721,478.5390519386464,40.35,490.82,473.23,0.927,2.6377,3.9214
2023-11-16,482.03,472.53,478.8420389406101,478.3072703135615,38.96,490.8,473.26,0.5348,2.2171,4.0
2023-11-17,481.67,472.88,478.4678791035932,478.1667317718162,36.15,490.76,472.58,0.3011,1.8339,3.9993
2023-11-20,481.01,473.11,477.49897462611733,477.72252941834836,29.08,490.85,471.17,-0.2236,1.4224,4.3664
2023-11-21,480.37,473.26,476.8252862220993,477.3816013132855,26.67,490.53,470.21,-0.5563,1.0267,4.1257
2023-11-22,479.74,473.22,475.3460114186994,476.6281493641532,25.7,491.49,467.99,-1.2821,0.5649,4.0393
2023-11-23,478.99,473.26,474.2143173542841,475.98828644829,21.35,491.74,466.24,-1.774,0.0971,4.0557
2023-11-24,478.09,473.46,472.78903776131733,475.17063560026855,21.46,492.13,464.05,-2.3816,-0.3986,3.93
2023-11-27,477.07,473.47,471.60149349034543,474.42244037061903,22.21,491.79,462.34,-2.8209,-0.8831,4.0921
2023-11-28,475.98,473.4,470.6412637226,473.7511484913139,24.84,490.81,461.15,-3.1099,-1.3284,4.0564
2023-11-29,474.89,473.32,470.13799238066156,473.2784708252907,34.49,488.82,460.97,-3.1405,-1.6908,3.7857
2023-11-30,474.07,473.27,469.80445509132903,472.88525076415806,34.59,487.54,460.59,-3.0808,-1.9688,3.815
2023-12-01,473.15,473.27,469.67453892343224,472.5944914482945,31.65,485.27,461.03,-2.92,-2.1591,3.7736
2023-12-04,472.49,473.45,469.8492252429042,472.462306896569,41.77,483.49,461.49,-2.6131,-2.2499,3.7579
2023-12-05,471.56,473.69,469.08626751322663,471.9013952746009,29.75,481.79,461.33,-2.8151,-2.3629,4.1357
2023-12-06,470.82,473.89,468.60376481888403,471.46055118018603,33.55,480.37,461.28,-2.8568,-2.4617,4.1057
2023-12-07,470.06,474.1,467.3954933082865,470.6671770186908,26.24,480.27,459.84,-3.2717,-2.6237,4.3007
2023-12-08,469.17,474.21,466.05772510701166,469.7807194617507,28.11,480.08,458.25,-3.723,-2.8436,4.3986
2023-12-11,468.38,474.45,465.58730585977906,469.27844394606547,35.17,478.64,458.12,-3.6911,-3.0131,4.735
2023-12-12,467.81,474.65,465.2800280351977,468.8570777278384,43.72,477.8,457.82,-3.577,-3.1259,4.335
2023-12-13,467.02,474.76,464.575408337475,468.2528497479985,38.21,476.59,457.45,-3.6774,-3.2362,4.3457
2023-12-14,466.3,474.74,464.0161147470942,467.71115717407264,42.87,475.37,457.22,-3.695,-3.3279,4.1493
