timestamp,strike,expiry,option_type,bid,ask,mid,last,volume,open_interest,implied_vol,delta,gamma,vega,theta
2023-01-04,495.07,2023-02-03,put,42.46,43.97,43.22,43.51,2425,2662,0.17491,-0.9633,0.00356,0.1037,-0.0302
2023-01-04,405.05,2023-03-05,call,48.21,49.93,49.07,48.83,0,0,0.170048,0.9542,0.003098,0.1754,-0.0249
2023-01-04,405.05,2023-03-05,put,0.59,0.61,0.6,0.61,996,12547,0.170048,-0.0458,0.003098,0.1754,-0.0249
2023-01-04,427.56,2023-03-05,call,28.92,29.87,29.4,29.34,0,16627,0.170897,0.8155,0.008544,0.4862,-0.0692
2023-01-04,427.56,2023-03-05,put,3.19,3.3,3.24,3.23,5398,6391,0.170897,-0.1845,0.008544,0.4862,-0.0692
2023-01-04,450.06,2023-03-05,call,14.68,15.13,14.9,15.0,347,18640,0.177876,0.5615,0.012145,0.7193,-0.1066
2023-01-04,450.06,2023-03-05,put,10.9,11.23,11.07,11.02,1189,15996,0.177876,-0.4385,0.012145,0.7193,-0.1066
2023-01-04,472.56,2023-03-05,call,5.78,5.97,5.88,5.92,2116,15219,0.176218,0.299,0.010797,0.6335,-0.093
2023-01-04,472.56,2023-03-05,put,23.95,24.74,24.34,24.41,2654,5052,0.176218,-0.701,0.010797,0.6335,-0.093
2023-01-04,495.07,2023-03-05,call,1.71,1.77,1.74,1.77,850,6825,0.173773,0.1158,0.006153,0.356,-0.0516
2023-01-04,495.07,2023-03-05,put,41.78,43.27,42.53,42.33,3692,14611,0.173773,-0.8842,0.006153,0.356,-0.0516
2023-01-05,407.08,2023-02-04,call,46.24,47.89,47.06,47.54,1900,14101,0.171344,0.988,0.001408,0.0406,-0.0116
2023-01-05,407.08,2023-02-04,put,0.09,0.1,0.1,0.1,3912,13362,0.171344,-0.012,0.001408,0.0406,-0.0116
2023-01-05,429.69,2023-02-04,call,25.2,26.03,25.62,25.74,874,2552,0.162222,0.8885,0.009027,0.2462,-0.0666
2023-01-05,429.69,2023-02-04,put,1.14,1.18,1.16,1.15,826,3908,0.162222,-0.1115,0.009027,0.2462,-0.0666
2023-01-05,452.31,2023-02-04,call,9.29,9.57,9.43,9.5,3330,8132,0.163274,0.5457,0.018719,0.5139,-0.1398
2023-01-05,452.31,2023-02-04,put,7.38,7.61,7.5,7.52,3342,15583,0.163274,-0.4543,0.018719,0.5139,-0.1398
2023-01-05,474.93,2023-02-04,call,2.02,2.09,2.05,2.05,1497,8587,0.165467,0.1802,0.012237,0.3405,-0.0939
2023-01-05,474.93,2023-02-04,put,22.27,23.01,22.64,22.74,2010,8613,0.165467,-0.8198,0.012237,0.3405,-0.0939
2023-01-05,497.54,2023-02-04,call,0.23,0.24,0.24,0.24,1580,9659,0.165705,0.0292,0.003099,0.0863,-0.0238
2023-01-05,497.54,2023-02-04,put,42.58,44.1,43.34,43.33,341,10006,0.165705,-0.9708,0.003099,0.0863,-0.0238
2023-01-05,407.08,2023-03-06,call,48.32,50.04,49.18,49.96,2338,6306,0.162517,0.961,0.002835,0.1549,-0.021
2023-01-05,407.08,2023-03-06,put,0.47,0.49,0.48,0.48,3807,13489,0.162517,-0.039,0.002835,0.1549,-0.021
2023-01-05,429.69,2023-03-06,call,28.83,29.78,29.3,29.45,3818,10419,0.165874,0.8222,0.008559,0.4775,-0.066
2023-01-05,429.69,2023-03-06,put,2.97,3.07,3.02,3.0,2687,0,0.165874,-0.1778,0.008559,0.4775,-0.066
2023-01-05,452.31,2023-03-06,call,13.49,13.9,13.7,13.78,4422,14578,0.160185,0.5653,0.013399,0.7218,-0.0963
2023-01-05,452.31,2023-03-06,put,9.69,9.99,9.84,9.8,1839,9443,0.160185,-0.4347,0.013399,0.7218,-0.0963
2023-01-05,474.93,2023-03-06,call,4.71,4.86,4.78,4.73,4365,18755,0.158363,0.2761,0.011512,0.6131,-0.0809
2023-01-05,474.93,2023-03-06,put,22.97,23.73,23.35,23.28,3924,3361,0.158363,-0.7239,0.011512,0.6131,-0.0809
2023-01-05,497.54,2023-03-06,call,1.45,1.5,1.48,1.47,3120,7657,0.165916,0.1046,0.005959,0.3325,-0.046
2023-01-05,497.54,2023-03-06,put,41.72,43.21,42.46,42.17,2667,14046,0.165916,-0.8954,0.005959,0.3325,-0.046
2023-01-06,404.06,2023-02-05,call,45.94,47.58,46.76,46.75,1994,7941,0.178513,0.9849,0.001654,0.0489,-0.0146
2023-01-06,404.06,2023-02-05,put,0.12,0.13,0.12,0.12,3595,0,0.178513,-0.0151,0.001654,0.0489,-0.0146
2023-01-06,426.51,2023-02-05,call,25.53,26.37,25.95,25.92,5419,12374,0.181971,0.8625,0.009386,0.283,-0.0858
2023-01-06,426.51,2023-02-05,put,1.64,1.7,1.67,1.68,1783,2770,0.181971,-0.1375,0.009386,0.283,-0.0858
2023-01-06,448.96,2023-02-05,call,9.92,10.22,10.07,10.11,5801,21139,0.177146,0.5438,0.017391,0.5104,-0.1507
2023-01-06,448.96,2023-02-05,put,8.02,8.27,8.14,8.15,5758,8258,0.177146,-0.4562,0.017391,0.5104,-0.1507
2023-01-06,471.41,2023-02-05,call,2.36,2.44,2.4,2.38,2547,8248,0.175806,0.1955,0.012205,0.3555,-0.1042
2023-01-06,471.41,2023-02-05,put,22.46,23.2,22.83,22.83,4377,10242,0.175806,-0.8045,0.012205,0.3555,-0.1042
2023-01-06,493.86,2023-02-05,call,0.23,0.24,0.24,0.24,2169,10539,0.165343,0.0289,0.003104,0.085,-0.0234
2023-01-06,493.86,2023-02-05,put,42.26,43.77,43.02,42.84,3013,13571,0.165343,-0.9711,0.003104,0.085,-0.0234
2023-01-06,404.06,2023-03-07,call,48.13,49.85,48.99,49.3,806,4342,0.171997,0.9525,0.003164,0.1803,-0.0258
2023-01-06,404.06,2023-03-07,put,0.62,0.64,0.63,0.63,4590,181,0.171997,-0.0475,0.003164,0.1803,-0.0258
2023-01-06,426.51,2023-03-07,call,29.03,29.99,29.51,29.51,3724,9295,0.174565,0.811,0.008512,0.4924,-0.0716
2023-01-06,426.51,2023-03-07,put,3.36,3.47,3.42,3.43,906,14034,0.174565,-0.189,0.008512,0.4924,-0.0716
2023-01-06,448.96,2023-03-07,call,14.83,15.28,15.06,14.98,1979,18044,0.180405,0.5612,0.012005,0.7176,-0.1079
2023-01-06,448.96,2023-03-07,put,11.04,11.38,11.21,11.23,5285,5057,0.180405,-0.4388,0.012005,0.7176,-0.1079
2023-01-06,471.41,2023-03-07,call,5.68,5.87,5.78,5.77,4913,9413,0.174804,0.2974,0.010885,0.6304,-0.0918
2023-01-06,471.41,2023-03-07,put,23.8,24.58,24.19,24.13,1122,9925,0.174804,-0.7026,0.010885,0.6304,-0.0918
2023-01-06,493.86,2023-03-07,call,2.0,2.07,2.04,2.02,2127,9493,0.181791,0.1272,0.006297,0.3793,-0.0575
2023-01-06,493.86,2023-03-07,put,41.96,43.45,42.7,43.15,2839,12899,0.181791,-0.8728,0.006297,0.3793,-0.0575
2023-01-09,405.98,2023-02-08,call,46.15,47.79,46.97,46.62,190,4542,0.178894,0.9847,0.001661,0.0497,-0.0148
2023-01-09,405.98,2023-02-08,put,0.13,0.13,0.13,0.13,1619,5556,0.178894,-0.0153,0.001661,0.0497,-0.0148
2023-01-09,428.54,2023-02-08,call,25.71,26.56,26.14,25.83,877,22789,0.184657,0.859,0.009364,0.2892,-0.089
2023-01-09,428.54,2023-02-08,put,1.73,1.79,1.76,1.76,1512,3874,0.184657,-0.141,0.009364,0.2892,-0.089
2023-01-09,451.09,2023-02-08,call,10.09,10.4,10.24,10.27,6004,4411,0.179656,0.5433,0.01707,0.5129,-0.1536
2023-01-09,451.09,2023-02-08,put,8.19,8.44,8.32,8.32,3403,18445,0.179656,-0.4567,0.01707,0.5129,-0.1536
2023-01-09,473.64,2023-02-08,call,2.17,2.24,2.2,2.21,5221,2541,0.170081,0.1872,0.012224,0.3477,-0.0986
2023-01-09,473.64,2023-02-08,put,22.37,23.1,22.74,22.84,5458,14700,0.170081,-0.8128,0.012224,0.3477,-0.0986
2023-01-09,496.2,2023-02-08,call,0.34,0.35,0.34,0.34,1316,8352,0.177026,0.0385,0.003649,0.108,-0.0319
2023-01-09,496.2,2023-02-08,put,42.58,44.1,43.34,43.1,2058,4067,0.177026,-0.9615,0.003649,0.108,-0.0319
2023-01-09,405.98,2023-03-10,call,48.36,50.08,49.22,49.61,0,14703,0.172872,0.9516,0.00318,0.1839,-0.0265
2023-01-09,405.98,2023-03-10,put,0.64,0.66,0.65,0.64,3178,8243,0.172872,-0.0484,0.00318,0.1839,-0.0265
2023-01-09,428.54,2023-03-10,call,28.97,29.93,29.45,29.38,939,4833,0.170853,0.8155,0.008527,0.4873,-0.0694
2023-01-09,428.54,2023-03-10,put,3.2,3.3,3.25,3.26,674,0,0.170853,-0.1845,0.008527,0.4873,-0.0694
2023-01-09,451.09,2023-03-10,call,14.93,15.38,15.16,15.19,3996,12675,0.180975,0.5609,0.011912,0.7211,-0.1088
2023-01-09,451.09,2023-03-10,put,11.14,11.48,11.31,11.35,4934,14048,0.180975,-0.4391,0.011912,0.7211,-0.1088
2023-01-09,473.64,2023-03-10,call,5.67,5.86,5.76,5.79,5121,12534,0.174263,0.2967,0.010854,0.6327,-0.0919
2023-01-09,473.64,2023-03-10,put,23.88,24.67,24.28,24.64,3048,11004,0.174263,-0.7033,0.010854,0.6327,-0.0919
2023-01-09,496.2,2023-03-10,call,2.07,2.14,2.1,2.1,2332,6054,0.183437,0.1294,0.006285,0.3856,-0.0589
2023-01-09,496.2,2023-03-10,put,42.24,43.74,42.99,43.1,0,4540,0.183437,-0.8706,0.006285,0.3856,-0.0589
2023-01-10,410.93,2023-02-09,call,46.66,48.33,47.5,46.95,3385,6156,0.165992,0.99,0.001222,0.0347,-0.0096
2023-01-10,410.93,2023-02-09,put,0.07,0.08,0.08,0.08,2481,2442,0.165992,-0.01,0.001222,0.0347,-0.0096
2023-01-10,433.76,2023-02-09,call,25.71,26.55,26.13,26.31,245,16436,0.172675,0.8744,0.009135,0.2703,-0.0778
2023-01-10,433.76,2023-02-09,put,1.42,1.46,1.44,1.44,4588,11081,0.172675,-0.1256,0.009135,0.2703,-0.0778
2023-01-10,456.59,2023-02-09,call,9.45,9.74,9.59,9.52,1180,10932,0.16465,0.5456,0.018389,0.5188,-0.1424
2023-01-10,456.59,2023-02-09,put,7.52,7.75,7.64,7.68,5618,17474,0.16465,-0.4544,0.018389,0.5188,-0.1424
2023-01-10,479.42,2023-02-09,call,2.34,2.42,2.38,2.36,683,3819,0.174246,0.1933,0.012024,0.359,-0.1043
2023-01-10,479.42,2023-02-09,put,22.78,23.53,23.16,23.17,0,6854,0.174246,-0.8067,0.012024,0.359,-0.1043
2023-01-10,502.25,2023-02-09,call,0.32,0.33,0.32,0.32,3970,5222,0.174441,0.0363,0.003489,0.1043,-0.0303
2023-01-10,502.25,2023-02-09,put,43.06,44.6,43.83,43.59,2350,3779,0.174441,-0.9637,0.003489,0.1043,-0.0303
2023-01-10,410.93,2023-03-11,call,48.91,50.66,49.78,49.75,2688,13375,0.170045,0.9542,0.003053,0.1779,-0.0252
2023-01-10,410.93,2023-03-11,put,0.6,0.62,0.61,0.61,3201,6714,0.170045,-0.0458,0.003053,0.1779,-0.0252
2023-01-10,433.76,2023-03-11,call,29.39,30.36,29.88,29.83,1146,1836,0.171758,0.8145,0.008408,0.4949,-0.0708
2023-01-10,433.76,2023-03-11,put,3.28,3.39,3.34,3.33,3540,13795,0.171758,-0.1855,0.008408,0.4949,-0.0708
2023-01-10,456.59,2023-03-11,call,14.21,14.64,14.42,14.46,2615,28676,0.168318,0.5636,0.012641,0.7291,-0.1023
2023-01-10,456.59,2023-03-11,put,10.36,10.68,10.52,10.53,3244,20578,0.168318,-0.4364,0.012641,0.7291,-0.1023
2023-01-10,479.42,2023-03-11,call,5.33,5.51,5.42,5.43,5218,5786,0.167748,0.2887,0.011,0.6324,-0.0884
2023-01-10,479.42,2023-03-11,put,23.76,24.54,24.15,24.12,2419,10444,0.167748,-0.7113,0.011,0.6324,-0.0884
2023-01-10,502.25,2023-03-11,call,1.84,1.91,1.88,1.89,3711,0,0.176715,0.1201,0.006118,0.3705,-0.0546
2023-01-10,502.25,2023-03-11,put,42.48,44.0,43.24,43.37,2424,9930,0.176715,-0.8799,0.006118,0.3705,-0.0546
2023-01-11,408.0,2023-02-10,call,46.37,48.02,47.2,47.05,2981,6964,0.176717,0.9857,0.00158,0.0472,-0.0139
2023-01-11,408.0,2023-02-10,put,0.12,0.12,0.12,0.12,1323,6926,0.176717,-0.0143,0.00158,0.0472,-0.0139
2023-01-11,430.66,2023-02-10,call,25.65,26.5,26.08,26.19,2710,10783,0.177425,0.8683,0.009255,0.2774,-0.082
2023-01-11,430.66,2023-02-10,put,1.53,1.59,1.56,1.56,4267,7976,0.177425,-0.1317,0.009255,0.2774,-0.082
2023-01-11,453.33,2023-02-10,call,9.81,10.11,9.96,9.97,3062,17827,0.173137,0.5444,0.01762,0.5153,-0.1487
2023-01-11,453.33,2023-02-10,put,7.9,8.14,8.02,8.08,4125,27373,0.173137,-0.4556,0.01762,0.5153,-0.1487
2023-01-11,476.0,2023-02-10,call,2.47,2.55,2.51,2.51,3949,18156,0.178302,0.1991,0.012048,0.3628,-0.1078
2023-01-11,476.0,2023-02-10,put,22.76,23.51,23.14,23.05,3977,17086,0.178302,-0.8009,0.012048,0.3628,-0.1078
2023-01-11,498.66,2023-02-10,call,0.29,0.3,0.3,0.3,2932,4553,0.172206,0.0345,0.003411,0.0992,-0.0285
2023-01-11,498.66,2023-02-10,put,42.73,44.25,43.49,43.61,310,2865,0.172206,-0.9655,0.003411,0.0992,-0.0285
2023-01-11,408.0,2023-03-12,call,48.57,50.3,49.44,49.53,1601,4661,0.170586,0.9537,0.003091,0.1781,-0.0253
2023-01-11,408.0,2023-03-12,put,0.6,0.63,0.62,0.62,1950,6326,0.170586,-0.0463,0.003091,0.1781,-0.0253
2023-01-11,430.66,2023-03-12,call,29.25,30.22,29.74,29.77,1130,7288,0.173186,0.8128,0.008448,0.4942,-0.0713
2023-01-11,430.66,2023-03-12,put,3.32,3.43,3.38,3.4,3310,481,0.173186,-0.1872,0.008448,0.4942,-0.0713
2023-01-11,453.33,2023-03-12,call,14.98,15.43,15.2,15.14,8252,16082,0.180475,0.5612,0.011885,0.7246,-0.109
2023-01-11,453.33,2023-03-12,put,11.15,11.49,11.32,11.37,0,8991,0.180475,-0.4388,0.011885,0.7246,-0.109
2023-01-11,476.0,2023-03-12,call,5.55,5.73,5.64,5.63,1382,6694,0.171788,0.2938,0.010907,0.633,-0.0906
2023-01-11,476.0,2023-03-12,put,23.84,24.62,24.23,24.22,1661,9254,0.171788,-0.7062,0.010907,0.633,-0.0906
2023-01-11,498.66,2023-03-12,call,1.81,1.88,1.84,1.82,1710,3624,0.17625,0.1195,0.006156,0.3665,-0.0538
2023-01-11,498.66,2023-03-12,put,42.15,43.66,42.9,42.88,2766,1907,0.17625,-0.8805,0.006156,0.3665,-0.0538
2023-01-12,408.37,2023-02-11,call,46.41,48.06,47.24,47.47,3312,5399,0.176411,0.9859,0.001569,0.0468,-0.0138
2023-01-12,408.37,2023-02-11,put,0.11,0.12,0.12,0.12,2372,7733,0.176411,-0.0141,0.001569,0.0468,-0.0138
2023-01-12,431.05,2023-02-11,call,25.6,26.44,26.02,26.05,3802,6478,0.174607,0.8719,0.009218,0.2724,-0.0793
2023-01-12,431.05,2023-02-11,put,1.46,1.51,1.48,1.48,751,3728,0.174607,-0.1281,0.009218,0.2724,-0.0793
2023-01-12,453.74,2023-02-11,call,10.06,10.37,10.22,10.21,1985,17791,0.177853,0.5436,0.01714,0.5158,-0.1529
2023-01-12,453.74,2023-02-11,put,8.15,8.39,8.27,8.3,4129,26747,0.177853,-0.4564,0.01714,0.5158,-0.1529
2023-01-12,476.43,2023-02-11,call,2.29,2.36,2.33,2.32,4200,4680,0.173129,0.1916,0.012113,0.3549,-0.1024
2023-01-12,476.43,2023-02-11,put,22.6,23.35,22.98,23.06,0,4738,0.173129,-0.8084,0.012113,0.3549,-0.1024
2023-01-12,499.11,2023-02-11,call,0.33,0.34,0.34,0.34,3900,3702,0.175765,0.0375,0.003573,0.1063,-0.0311
2023-01-12,499.11,2023-02-11,put,42.81,44.33,43.57,43.56,2196,7083,0.175765,-0.9625,0.003573,0.1063,-0.0311
2023-01-12,408.37,2023-03-13,call,48.84,50.58,49.71,49.56,1360,3585,0.182475,0.9426,0.003428,0.2117,-0.0322
2023-01-12,408.37,2023-03-13,put,0.83,0.86,0.84,0.84,2326,8606,0.182475,-0.0574,0.003428,0.2117,-0.0322
2023-01-12,431.05,2023-03-13,call,29.48,30.45,29.96,29.8,3496,11712,0.177464,0.8073,0.008383,0.5035,-0.0745
2023-01-12,431.05,2023-03-13,put,3.54,3.65,3.6,3.62,3375,5891,0.177464,-0.1927,0.008383,0.5035,-0.0745
2023-01-12,453.74,2023-03-13,call,14.56,15.0,14.78,14.9,1054,4314,0.174473,0.5622,0.012278,0.725,-0.1054
2023-01-12,453.74,2023-03-13,put,10.74,11.07,10.9,10.91,7594,15652,0.174473,-0.4378,0.012278,0.725,-0.1054
2023-01-12,476.43,2023-03-13,call,5.52,5.7,5.61,5.67,1430,14396,0.171271,0.2931,0.010917,0.6328,-0.0903
2023-01-12,476.43,2023-03-13,put,23.83,24.62,24.22,24.39,2843,13251,0.171271,-0.7069,0.010917,0.6328,-0.0903
2023-01-12,499.11,2023-03-13,call,2.04,2.11,2.08,2.07,2988,12227,0.182349,0.128,0.006237,0.3849,-0.0585
2023-01-12,499.11,2023-03-13,put,42.43,43.94,43.18,43.46,1502,9346,0.182349,-0.872,0.006237,0.3849,-0.0585
2023-01-13,407.1,2023-02-12,call,46.32,47.97,47.14,47.0,863,10032,0.187317,0.9807,0.001934,0.0609,-0.019
2023-01-13,407.1,2023-02-12,put,0.17,0.18,0.18,0.18,3418,0,0.187317,-0.0193,0.001934,0.0609,-0.019
2023-01-13,429.71,2023-02-12,call,25.79,26.65,26.22,26.26,5549,6323,0.184718,0.859,0.009335,0.29,-0.0893
2023-01-13,429.71,2023-02-12,put,1.74,1.79,1.76,1.75,1743,9732,0.184718,-0.141,0.009335,0.29,-0.0893
2023-01-13,452.33,2023-02-12,call,10.67,11.0,10.84,10.9,5850,14548,0.190571,0.5421,0.016053,0.5145,-0.1634
2023-01-13,452.33,2023-02-12,put,8.77,9.03,8.9,8.98,2392,15321,0.190571,-0.4579,0.016053,0.5145,-0.1634
2023-01-13,474.95,2023-02-12,call,2.89,2.98,2.94,2.93,2364,13627,0.18994,0.2147,0.011852,0.3786,-0.1198
2023-01-13,474.95,2023-02-12,put,23.14,23.91,23.52,23.42,2440,9451,0.18994,-0.7853,0.011852,0.3786,-0.1198
2023-01-13,497.56,2023-02-12,call,0.6,0.62,0.61,0.61,1230,10734,0.1972,0.0569,0.004465,0.1481,-0.0487
2023-01-13,497.56,2023-02-12,put,42.95,44.48,43.72,43.5,2611,1318,0.1972,-0.9431,0.004465,0.1481,-0.0487
2023-01-13,407.1,2023-03-14,call,48.9,50.65,49.78,49.76,465,9474,0.192706,0.9328,0.003681,0.2386,-0.0383
2023-01-13,407.1,2023-03-14,put,1.06,1.09,1.08,1.09,2582,8532,0.192706,-0.0672,0.003681,0.2386,-0.0383
2023-01-13,429.71,2023-03-14,call,29.68,30.66,30.17,30.3,0,7472,0.183371,0.8002,0.00832,0.5131,-0.0784
2023-01-13,429.71,2023-03-14,put,3.82,3.95,3.88,3.92,541,1126,0.183371,-0.1998,0.00832,0.5131,-0.0784
2023-01-13,452.33,2023-03-14,call,15.18,15.64,15.41,15.44,3981,23391,0.183911,0.5604,0.011692,0.7232,-0.1108
2023-01-13,452.33,2023-03-14,put,11.38,11.73,11.56,11.57,1604,22799,0.183911,-0.4396,0.011692,0.7232,-0.1108
2023-01-13,474.95,2023-03-14,call,6.39,6.6,6.49,6.51,5045,13009,0.185491,0.3094,0.010363,0.6465,-0.0999
2023-01-13,474.95,2023-03-14,put,24.66,25.47,25.06,25.22,811,8182,0.185491,-0.6906,0.010363,0.6465,-0.0999
2023-01-13,497.56,2023-03-14,call,2.29,2.37,2.33,2.32,3722,12652,0.189057,0.1371,0.006329,0.4025,-0.0634
2023-01-13,497.56,2023-03-14,put,42.56,44.08,43.32,43.44,2841,7351,0.189057,-0.8629,0.006329,0.4025,-0.0634
2023-01-16,410.0,2023-02-15,call,46.65,48.31,47.48,47.35,1803,8768,0.18657,0.9811,0.001895,0.0603,-0.0188
2023-01-16,410.0,2023-02-15,put,0.17,0.17,0.17,0.17,2458,2715,0.18657,-0.0189,0.001895,0.0603,-0.0188
2023-01-16,432.77,2023-02-15,call,26.03,26.89,26.46,26.49,4392,2035,0.186454,0.857,0.009273,0.2949,-0.0916
2023-01-16,432.77,2023-02-15,put,1.8,1.86,1.83,1.83,4018,10189,0.186454,-0.143,0.009273,0.2949,-0.0916
2023-01-16,455.55,2023-02-15,call,10.66,10.98,10.82,10.81,4153,12879,0.188778,0.5424,0.01609,0.5181,-0.163
2023-01-16,455.55,2023-02-15,put,8.73,9.0,8.86,8.81,7550,18294,0.188778,-0.4576,0.01609,0.5181,-0.163
2023-01-16,478.33,2023-02-15,call,2.79,2.88,2.84,2.86,2389,13876,0.18663,0.2105,0.011839,0.3769,-0.1172
2023-01-16,478.33,2023-02-15,put,23.18,23.94,23.56,23.39,1867,16161,0.18663,-0.7895,0.011839,0.3769,-0.1172
2023-01-16,501.11,2023-02-15,call,0.57,0.59,0.58,0.59,3875,14956,0.195013,0.0548,0.004355,0.1449,-0.0471
2023-01-16,501.11,2023-02-15,put,43.22,44.76,43.99,43.86,422,0,0.195013,-0.9452,0.004355,0.1449,-0.0471
2023-01-16,410.0,2023-03-17,call,49.23,50.99,50.11,50.08,4015,7055,0.191217,0.9343,0.00362,0.2361,-0.0376
2023-01-16,410.0,2023-03-17,put,1.03,1.06,1.04,1.05,211,14913,0.191217,-0.0657,0.00362,0.2361,-0.0376
2023-01-16,432.77,2023-03-17,call,30.2,31.2,30.7,30.92,4490,6096,0.189205,0.7937,0.008162,0.5268,-0.0831
2023-01-16,432.77,2023-03-17,put,4.15,4.28,4.22,4.24,1882,15384,0.189205,-0.2063,0.008162,0.5268,-0.0831
2023-01-16,455.55,2023-03-17,call,15.8,16.28,16.04,16.08,3933,14136,0.190914,0.5596,0.011187,0.7286,-0.1159
2023-01-16,455.55,2023-03-17,put,11.96,12.32,12.14,12.15,0,23844,0.190914,-0.4404,0.011187,0.7286,-0.1159
2023-01-16,478.33,2023-03-17,call,6.63,6.85,6.74,6.75,1355,12320,0.188498,0.3129,0.010174,0.6542,-0.1028
2023-01-16,478.33,2023-03-17,put,25.01,25.84,25.42,25.38,5507,3249,0.188498,-0.6871,0.010174,0.6542,-0.1028
2023-01-16,501.11,2023-03-17,call,2.52,2.61,2.56,2.55,2613,7000,0.194344,0.1443,0.006329,0.4196,-0.068
2023-01-16,501.11,2023-03-17,put,43.07,44.6,43.84,43.65,0,10946,0.194344,-0.8557,0.006329,0.4196,-0.068
2023-01-17,403.88,2023-02-16,call,45.95,47.59,46.77,46.69,3778,13308,0.184708,0.982,0.001861,0.0569,-0.0175
2023-01-17,403.88,2023-02-16,put,0.15,0.16,0.16,0.16,126,7438,0.184708,-0.018,0.001861,0.0569,-0.0175
2023-01-17,426.31,2023-02-16,call,25.77,26.62,26.2,26.11,5076,11839,0.190451,0.8522,0.009422,0.297,-0.0943
2023-01-17,426.31,2023-02-16,put,1.88,1.95,1.92,1.92,2670,3325,0.190451,-0.1478,0.009422,0.297,-0.0943
