date,spot,rate,vix,volume
2023-10-03,453.17,0.056131,19.26,79393857
2023-10-04,455.19,0.056183,17.21,73341129
2023-10-05,462.39,0.055657,16.84,62530234
2023-10-06,468.0,0.056099,14.45,54921319
2023-10-09,469.93,0.056271,11.79,62262502
2023-10-10,474.42,0.056479,12.82,56290228
2023-10-11,476.89,0.056008,13.66,98445977
2023-10-12,481.39,0.056015,10.41,79567085
2023-10-13,480.77,0.056262,12.28,51328345
2023-10-16,483.13,0.055771,11.63,51977098
2023-10-17,482.94,0.055571,11.64,81812609
2023-10-18,477.53,0.056025,12.68,99886696
2023-10-19,475.26,0.056464,13.16,59071337
2023-10-20,483.56,0.056246,10.79,79444408
2023-10-23,485.37,0.055817,10.14,44596124
2023-10-24,485.9,0.055768,15.53,62138593
2023-10-25,479.89,0.055801,14.16,73449696
2023-10-26,482.98,0.055854,11.98,69925519
2023-10-27,482.99,0.055951,11.01,48440170
2023-10-30,485.5,0.056049,10.88,84877200
2023-10-31,487.03,0.056069,10.01,66985197
2023-11-01,489.15,0.056462,9.0,54276851
2023-11-02,484.53,0.056333,9.26,62174238
2023-11-03,487.28,0.056425,9.0,73330403
2023-11-06,484.08,0.056146,11.09,39689784
2023-11-07,483.37,0.056074,9.0,85457754
2023-11-08,480.76,0.055899,10.67,54134862
2023-11-09,476.01,0.055854,11.22,77136819
2023-11-10,476.57,0.055505,11.32,55477802
2023-11-13,478.76,0.0555,9.0,70122630
2023-11-14,474.87,0.055856,10.34,70185898
2023-11-15,476.58,0.056138,9.0,29834850
2023-11-16,475.41,0.056251,9.81,54056342
2023-11-17,476.41,0.05659,10.89,64175977
2023-11-20,472.17,0.056524,9.75,67928945
2023-11-21,473.12,0.056683,13.47,54828927
2023-11-22,467.21,0.056911,12.81,65698362
2023-11-23,467.99,0.057233,10.65,70625932
2023-11-24,464.95,0.056703,14.0,81267727
2023-11-27,465.07,0.056896,10.97,28788382
2023-11-28,465.36,0.056743,14.25,54587921
2023-11-29,467.37,0.056215,13.07,70827113
2023-11-30,467.97,0.056571,12.85,91974315
2023-12-01,468.96,0.056091,13.76,63660193
2023-12-04,470.81,0.055873,12.87,70467875
2023-12-05,464.89,0.056064,12.92,55407449
2023-12-06,465.95,0.055649,12.73,41412076
2023-12-07,460.75,0.055709,13.14,38934281
2023-12-08,458.7,0.055572,15.26,93543611
2023-12-11,463.0,0.055538,12.97,74614860
2023-12-12,463.59,0.055851,12.07,44924263
2023-12-13,460.7,0.055692,15.53,50892046
2023-12-14,460.94,0.055536,16.48,43370318
2023-12-15,454.64,0.055979,16.79,59170502
2023-12-18,448.19,0.055831,18.54,69707285
2023-12-19,444.44,0.056019,19.62,81487873
2023-12-20,454.29,0.055829,13.95,53335911
2023-12-21,449.62,0.056671,15.3,51233696
2023-12-22,450.01,0.056266,15.18,69453738
2023-12-25,444.84,0.055971,17.42,28454365
2023-12-26,450.58,0.055472,16.55,80232728
2023-12-27,451.91,0.055427,15.52,60090418
2023-12-28,449.92,0.055455,14.17,58855266
2023-12-29,452.18,0.054862,16.51,35707767
2024-01-01,452.23,0.055006,16.01,78989582
2024-01-02,441.52,0.055208,19.18,51805363
2024-01-03,448.79,0.054872,16.95,65861151
2024-01-04,451.51,0.054602,15.44,87174184
2024-01-05,451.64,0.054611,15.4,34434072
2024-01-08,449.8,0.054812,18.01,60509931
2024-01-09,446.4,0.055009,16.49,44045569
2024-01-10,453.49,0.055212,17.1,61864516
2024-01-11,454.77,0.054892,15.78,47084517
2024-01-12,458.77,0.055318,18.15,75872820
2024-01-15,459.35,0.054849,17.86,67994525
2024-01-16,464.19,0.054674,14.11,61003796
2024-01-17,466.31,0.054854,15.23,81069568
2024-01-18,468.98,0.054985,13.24,57952452
2024-01-19,471.21,0.054799,15.49,19285511
2024-01-22,470.03,0.055138,13.45,36177432
2024-01-23,465.21,0.054621,13.48,75986417
2024-01-24,461.41,0.054272,14.58,64500578
2024-01-25,457.98,0.054158,12.93,32294506
2024-01-26,454.81,0.054231,12.88,65846173
2024-01-29,451.97,0.054145,14.91,46959551
2024-01-30,452.76,0.05429,15.38,53984183
2024-01-31,452.46,0.054321,16.94,60399540
2024-02-01,446.35,0.054467,16.49,88626242
2024-02-02,443.8,0.054527,15.77,60651865
2024-02-05,440.21,0.054816,16.43,68474906
2024-02-06,442.05,0.05468,15.49,98212289
2024-02-07,444.09,0.054346,17.62,63587081
2024-02-08,446.78,0.054823,15.09,64847058
2024-02-09,446.74,0.054585,14.66,65220202
2024-02-12,446.56,0.054646,13.1,25971675
2024-02-13,451.26,0.054867,11.93,66706222
2024-02-14,454.52,0.055442,10.25,74900562
2024-02-15,450.09,0.055104,12.43,66533849
2024-02-16,445.65,0.054956,10.92,73746622
2024-02-19,443.56,0.055069,12.45,69092937
2024-02-20,442.99,0.054966,11.94,62059935
2024-02-21,434.98,0.054982,12.19,64482877
2024-02-22,431.15,0.055288,16.6,67376720
2024-02-23,430.82,0.055476,15.6,67926559
2024-02-26,434.24,0.054933,16.85,52932100
2024-02-27,435.28,0.054779,15.33,60804847
2024-02-28,431.4,0.055052,14.1,72445145
2024-02-29,433.26,0.055283,14.08,68226472
2024-03-01,433.5,0.055944,12.26,67897723
2024-03-04,435.13,0.056041,12.43,59329410
2024-03-05,433.87,0.056012,13.45,83886722
2024-03-06,443.14,0.056292,11.86,50859801
2024-03-07,443.66,0.056359,12.97,48866415
2024-03-08,444.83,0.056075,13.11,57176920
2024-03-11,446.98,0.055852,10.9,39361608
2024-03-12,444.31,0.055867,12.15,70025635
2024-03-13,446.07,0.055308,10.54,68516466
2024-03-14,439.87,0.055472,13.81,95163891
2024-03-15,436.62,0.055417,12.96,37155326
2024-03-18,435.96,0.055598,13.91,66362000
2024-03-19,435.02,0.055835,13.75,58486993
2024-03-20,439.73,0.055805,12.21,65169165
2024-03-21,434.06,0.055474,14.34,53089346
2024-03-22,434.73,0.05515,12.86,72276226
2024-03-25,440.34,0.054879,12.31,63647113
2024-03-26,444.31,0.054692,9.43,72384453
2024-03-27,441.93,0.054894,9.01,63732201
2024-03-28,445.01,0.055059,9.0,81268795
2024-03-29,442.66,0.055241,10.84,76840498
2024-04-01,436.57,0.055513,12.23,74469120
2024-04-02,425.61,0.055883,13.29,35237851
2024-04-03,429.5,0.056566,13.95,75462324
2024-04-04,423.57,0.056914,15.25,58600925
2024-04-05,431.82,0.056646,9.0,57646667
2024-04-08,430.44,0.057033,12.71,65200637
2024-04-09,433.25,0.057142,11.77,72441810
2024-04-10,434.82,0.057483,13.39,83866684
2024-04-11,425.06,0.057782,14.16,67542108
2024-04-12,418.36,0.058611,17.43,66269919
2024-04-15,422.97,0.058553,17.3,34178580
2024-04-16,418.71,0.058748,17.61,76241855
2024-04-17,418.62,0.058844,18.48,67251216
2024-04-18,425.82,0.059602,18.84,72205014
2024-04-19,430.75,0.059529,15.91,48490081
2024-04-22,437.24,0.05954,14.62,54514672
2024-04-23,436.16,0.059355,13.53,75260568
2024-04-24,439.16,0.058855,16.18,75589546
2024-04-25,435.41,0.059031,15.1,55336876
2024-04-26,439.6,0.059117,14.78,40287555
2024-04-29,429.04,0.058683,17.73,39458320
2024-04-30,434.64,0.058123,14.62,30093503
2024-05-01,440.54,0.057949,13.6,96603270
2024-05-02,446.35,0.057875,10.09,66537085
2024-05-03,443.1,0.058045,10.97,66051697
2024-05-06,445.73,0.058275,13.27,58128772
2024-05-07,443.95,0.058301,13.65,58841990
2024-05-08,442.08,0.058253,10.24,45302484
2024-05-09,439.88,0.058257,11.15,74929213
2024-05-10,438.49,0.057646,12.55,65547211
2024-05-13,441.05,0.057634,11.55,68261606
2024-05-14,440.76,0.057878,11.07,64966246
2024-05-15,443.18,0.057219,10.28,63168741
2024-05-16,446.93,0.057584,11.71,72266801
2024-05-17,451.31,0.058095,10.2,55978087
2024-05-20,453.61,0.05826,9.0,86539910
2024-05-21,453.03,0.058464,10.92,93395733
2024-05-22,451.84,0.058536,12.22,73132929
2024-05-23,451.29,0.058724,13.5,74216601
2024-05-24,452.83,0.058629,14.93,57693296
2024-05-27,446.05,0.058002,14.45,58495587
2024-05-28,444.78,0.058109,12.88,87351865
2024-05-29,449.78,0.05824,10.98,68020172
2024-05-30,451.79,0.058217,14.84,67743720
2024-05-31,448.56,0.058506,14.21,50133405
2024-06-03,450.03,0.058598,15.2,86152429
2024-06-04,446.26,0.058349,17.87,40877212
2024-06-05,447.54,0.058322,15.09,86169754
2024-06-06,452.12,0.057922,11.43,77407591
2024-06-07,455.16,0.057918,13.63,54815310
2024-06-10,452.13,0.057981,13.46,88060363
2024-06-11,451.55,0.058006,13.97,64363492
2024-06-12,451.39,0.057941,16.03,60061859
2024-06-13,448.81,0.058374,15.84,50647449
2024-06-14,455.7,0.057804,16.1,49139198
2024-06-17,452.2,0.057749,15.66,50741956
2024-06-18,447.9,0.057783,14.87,58661585
2024-06-19,446.79,0.057643,16.13,86539671
2024-06-20,445.79,0.057778,17.46,38398781
2024-06-21,444.83,0.05725,16.52,67117535
2024-06-24,450.18,0.057139,16.2,64050202
2024-06-25,454.14,0.057396,12.94,52070264
2024-06-26,457.72,0.056536,14.93,71004648
2024-06-27,457.33,0.056493,14.73,47896897
2024-06-28,457.9,0.056879,12.65,67635506
2024-07-01,458.72,0.057431,12.74,62456739
2024-07-02,454.03,0.057309,13.06,64615414
2024-07-03,453.04,0.057058,13.82,74713611
2024-07-04,457.83,0.057282,16.56,62498363
2024-07-05,456.18,0.057473,15.66,47036175
2024-07-08,459.59,0.057739,14.74,56997207
2024-07-09,456.75,0.058028,15.32,76548439
2024-07-10,455.8,0.057888,15.29,73338680
2024-07-11,451.15,0.058002,16.48,80989664
2024-07-12,451.28,0.057969,15.4,87193855
2024-07-15,448.81,0.058139,16.64,61137182
2024-07-16,447.55,0.058171,20.29,52167103
2024-07-17,437.14,0.058044,18.98,59533573
2024-07-18,437.25,0.058296,17.38,76293082
2024-07-19,438.93,0.058847,21.79,63256000
2024-07-22,428.95,0.058547,22.66,79557469
2024-07-23,428.35,0.058495,23.78,66130993
2024-07-24,431.95,0.058308,23.47,56484167
2024-07-25,437.82,0.05806,23.61,68650983
2024-07-26,437.51,0.058249,20.86,42970408
2024-07-29,453.72,0.058267,19.48,87939702
2024-07-30,443.61,0.057593,17.95,66754703
2024-07-31,440.79,0.057818,20.68,78406981
2024-08-01,440.85,0.057717,18.52,59042085
2024-08-02,443.16,0.05801,19.23,46844019
2024-08-05,438.39,0.057848,19.72,80318334
2024-08-06,438.69,0.057701,23.18,73158155
2024-08-07,438.75,0.058249,18.09,88638804
2024-08-08,443.43,0.058045,19.25,55333163
2024-08-09,447.51,0.058305,19.24,53808252
2024-08-12,452.56,0.058183,15.68,86324404
2024-08-13,460.36,0.05825,18.28,63018481
2024-08-14,462.48,0.058161,13.57,76322928
2024-08-15,451.95,0.058745,15.79,67765500
2024-08-16,451.89,0.059167,16.73,41000759
2024-08-19,461.4,0.05899,16.27,64538842
2024-08-20,462.91,0.058962,17.25,99494961
2024-08-21,462.1,0.059437,15.99,68158020
2024-08-22,468.38,0.05929,14.35,100853340
2024-08-23,462.25,0.059494,19.87,83735340
2024-08-26,454.13,0.059412,19.23,80904908
2024-08-27,465.45,0.059241,15.68,79808710
2024-08-28,470.53,0.05936,15.1,87518537
2024-08-29,469.8,0.05944,16.04,52385762
2024-08-30,472.42,0.059481,14.81,72302278
2024-09-02,468.68,0.059332,15.7,51652940
2024-09-03,467.0,0.059629,14.93,86353392
2024-09-04,462.69,0.059485,15.81,58374623
2024-09-05,461.15,0.059397,17.61,67557622
2024-09-06,462.56,0.059458,15.85,77885690
2024-09-09,466.72,0.059079,19.34,39119686
2024-09-10,464.38,0.059299,16.24,57937675
2024-09-11,459.63,0.059579,17.39,55024074
2024-09-12,468.38,0.059755,15.01,95198696
2024-09-13,465.84,0.059981,17.26,65669874
2024-09-16,459.35,0.060213,17.76,89239736
2024-09-17,463.02,0.060312,16.68,46268860
2024-09-18,466.4,0.060434,15.52,64359753
2024-09-19,468.3,0.060275,15.26,55645962
2024-09-20,474.59,0.061183,16.24,62161314
2024-09-23,475.91,0.061714,16.37,63291254
2024-09-24,477.25,0.061479,18.51,55876404
2024-09-25,476.2,0.061644,15.32,73200005
2024-09-26,473.36,0.061285,16.47,51234365
2024-09-27,476.64,0.061543,15.64,38580658
2024-09-30,479.62,0.06171,16.13,54319187
2024-10-01,473.32,0.061282,14.59,44569237
2024-10-02,473.79,0.061218,15.96,45473303
2024-10-03,472.06,0.061345,14.25,81567425
2024-10-04,474.24,0.061325,15.45,65618091
2024-10-07,469.47,0.061993,17.16,83123942
2024-10-08,475.97,0.061814,13.97,68826230
2024-10-09,475.77,0.061489,16.6,87648060
2024-10-10,473.51,0.061142,17.6,78637394
2024-10-11,469.29,0.060887,15.39,70054350
2024-10-14,473.67,0.061175,16.12,43922534
2024-10-15,475.38,0.061206,14.59,59938553
2024-10-16,477.14,0.061193,16.4,23758469
2024-10-17,472.81,0.060616,16.66,59342106
2024-10-18,477.45,0.060845,15.15,91154328
2024-10-21,483.24,0.060721,13.19,81098867
2024-10-22,482.36,0.060906,15.33,56255091
2024-10-23,482.19,0.061186,15.75,95926987
2024-10-24,494.47,0.061051,12.22,49865510
2024-10-25,497.08,0.061001,11.54,77947261
2024-10-28,501.54,0.061233,13.29,67482731
2024-10-29,502.77,0.061237,12.45,61081034
2024-10-30,494.87,0.061381,12.21,61297643
2024-10-31,487.72,0.060939,14.1,76731923
2024-11-01,488.95,0.061063,15.37,65974146
2024-11-04,485.41,0.060756,14.92,57133776
2024-11-05,485.28,0.06037,13.24,72285334
2024-11-06,484.2,0.059925,12.95,41955915
2024-11-07,484.27,0.05984,13.58,50524809
2024-11-08,485.79,0.059831,13.78,71391859
2024-11-11,478.78,0.059516,15.79,53064817
2024-11-12,481.44,0.059634,15.08,57584900
2024-11-13,478.23,0.060134,15.86,75644927
2024-11-14,478.16,0.059801,13.86,59629059
2024-11-15,478.76,0.059765,15.66,65119910
2024-11-18,473.92,0.060326,17.73,72876439
2024-11-19,465.12,0.060483,17.91,45811190
2024-11-20,465.74,0.0605,17.98,65697697
2024-11-21,471.52,0.060487,15.55,56925513
2024-11-22,475.44,0.060557,17.14,52308467
2024-11-25,474.23,0.060141,19.52,45274563
2024-11-26,485.84,0.059676,18.1,79046006
2024-11-27,492.03,0.059607,19.47,32937491
2024-11-28,492.22,0.059868,19.05,84650595
2024-11-29,496.29,0.05958,17.11,46814475
2024-12-02,497.75,0.059509,18.96,81189734
2024-12-03,496.37,0.060002,19.05,67422869
2024-12-04,499.16,0.059813,20.62,44092472
2024-12-05,501.36,0.060009,17.99,65188677
2024-12-06,501.69,0.060123,17.03,88523096
2024-12-09,492.35,0.060227,20.1,84604993
2024-12-10,483.81,0.060278,21.4,52787450
2024-12-11,482.88,0.060591,20.4,89082250
2024-12-12,486.5,0.060868,20.08,39438505
2024-12-13,485.23,0.0609,19.26,75765884
2024-12-16,484.17,0.061046,22.78,47144847
2024-12-17,489.08,0.060475,22.17,55874487
2024-12-18,490.42,0.060496,21.9,95818176
2024-12-19,492.69,0.060331,23.01,53005138
2024-12-20,502.61,0.060201,22.66,102391082
2024-12-23,488.64,0.060637,25.4,44157149
2024-12-24,494.58,0.060829,22.62,64416349
2024-12-25,490.41,0.060617,23.97,82873904
2024-12-26,488.52,0.060596,26.31,80781123
2024-12-27,488.91,0.060951,22.37,75903092
2024-12-30,488.08,0.061021,21.45,85045691
2024-12-31,476.28,0.060576,26.79,60890123
2025-01-01,473.25,0.06083,27.03,68850417
2025-01-02,478.14,0.06083,25.92,51395945
2025-01-03,481.27,0.060831,23.94,41270712
2025-01-06,467.64,0.06025,24.77,73507560
2025-01-07,481.99,0.060058,24.89,66195091
2025-01-08,483.04,0.060185,26.91,46809218
2025-01-09,492.76,0.060568,22.33,45165704
2025-01-10,487.73,0.060299,22.69,64242888
2025-01-13,481.98,0.060255,24.04,73954188
2025-01-14,485.54,0.059995,25.37,53273146
2025-01-15,488.93,0.060274,25.49,75446178
2025-01-16,488.2,0.060347,24.43,69231318
2025-01-17,494.03,0.060199,28.51,58306921
2025-01-20,488.52,0.060387,30.06,39374001
2025-01-21,485.68,0.060301,24.95,84490203
2025-01-22,484.3,0.059918,26.73,62017525
2025-01-23,469.83,0.059897,28.44,73854808
2025-01-24,477.22,0.059492,27.14,58408047
2025-01-27,481.71,0.059469,24.66,71898503
2025-01-28,484.65,0.059103,24.89,92373185
2025-01-29,485.04,0.058989,27.23,88230883
2025-01-30,472.99,0.058973,26.75,77588020
2025-01-31,466.96,0.058722,27.58,25622799
2025-02-03,466.19,0.058647,29.01,57097202
2025-02-04,460.25,0.058934,29.45,60495376
2025-02-05,459.78,0.059002,28.06,77813597
2025-02-06,450.85,0.05943,28.11,53378420
2025-02-07,455.38,0.059402,27.55,44258927
2025-02-10,469.39,0.059661,24.93,106092561
2025-02-11,473.82,0.059098,23.54,66372896
2025-02-12,473.95,0.058741,26.53,75711706
2025-02-13,461.42,0.058909,24.91,69725645
2025-02-14,454.02,0.05857,25.55,71026233
2025-02-17,444.44,0.05894,25.23,69855783
2025-02-18,444.88,0.058574,23.65,54112126
2025-02-19,428.14,0.05911,25.33,44478157
2025-02-20,430.46,0.058623,29.17,61534104
2025-02-21,419.19,0.059349,25.92,85288908
2025-02-24,410.35,0.059414,26.24,55230558
2025-02-25,412.51,0.059679,26.2,65187706
2025-02-26,403.36,0.059783,26.47,76328776
2025-02-27,405.93,0.060226,25.09,66021514
2025-02-28,404.08,0.060616,22.15,64241188
2025-03-03,403.78,0.060493,24.49,64007110
2025-03-04,391.19,0.060884,26.8,52566872
2025-03-05,394.37,0.060569,23.72,50078403
2025-03-06,388.29,0.060367,24.37,90511891
2025-03-07,390.15,0.060288,23.14,69911166
2025-03-10,382.26,0.060646,22.78,71598859
2025-03-11,383.88,0.060441,24.12,74028434
2025-03-12,382.59,0.060521,25.26,78428276
2025-03-13,390.07,0.060869,21.77,52429712
2025-03-14,391.49,0.06132,22.76,63304394
2025-03-17,389.83,0.060856,20.71,44651002
2025-03-18,384.73,0.060487,21.38,67945919
2025-03-19,387.91,0.06048,21.07,97982717
2025-03-20,387.03,0.060189,21.86,43348298
2025-03-21,386.22,0.060158,22.2,78341201
2025-03-24,383.33,0.060333,22.3,75701906
2025-03-25,384.74,0.060456,21.93,67721470
2025-03-26,384.38,0.060407,24.55,62640232
